Path,Type,BaselineStatus,SizeBytes,Pages,SHA256
03_Visual_Audio/Cartridge_And_Cloud_Audio_Bible_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,42593,3,eb7f12085ef69502fe5e1b53dc930bf97e9616fcdbc1fd2725e0022ec08e1214
03_Visual_Audio/Cartridge_And_Cloud_UI_Style_Guide_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,129348,31,738d1287f5d50a845095abe3fe39c9984f52c325f5a2bb2783b92e1648442417
04_QA_Production/Cartridge_And_Cloud_Excel_Maestro_Produccion_v0.4.xlsx,xlsx,Official workbook v0.4,23649,,2debe763b682a8988c47fa2a6abf179123d625588365dc7fe2eb9e3c484f7a37
04_QA_Production/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.4.pdf,pdf,Updated version,45968,4,a633ddefdface673e33411b00fd52a84d6984fecf5a49586352d2efb95ef4951
04_QA_Production/Cartridge_And_Cloud_QA_Testing_Matrix_v0.4.xlsx,xlsx,Official workbook v0.4,26049,,80d79fa25df8c4dfaf0e91ff3f0e519ffcd283d802cf9e418e06fa88fa01d4d4
04_QA_Production/Cartridge_And_Cloud_QA_Testing_Plan_v0.4.pdf,pdf,Updated version,59968,7,047a7bdd0a0b1ed6f9dec50aacc429bf1f18a2ba874fca0a28a270cc61bbfa45
04_QA_Production/Cartridge_And_Cloud_Trazabilidad_Control_Cambios_v0.4.xlsx,xlsx,Official workbook v0.4,19088,,67a2964618561574ff049f7464f3486014121f0e1e0f0fff4eae5dd7dea2e144
05_Business_Release/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,42670,3,e4105813b235d24b75edf539eae505342f58f1f26a4b087e870dcbda9d63f558
05_Business_Release/Cartridge_And_Cloud_Localization_Plan_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,43688,3,fc6cb711af7107fecd82d8963f6461a6d2f00941e08d93ea535c16c8ce917c17
05_Business_Release/Cartridge_And_Cloud_Marketing_Plan_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,49493,5,e3f2d73b70e08702998abaf7eda9ccb1bf6b10c56f3b41188d02001a15e81a2c
05_Business_Release/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,43916,3,b052a99f72f3b531b75b5950e5459fc6bd2a62c516be7dc1ad5e53d3a4684ec3
06_Development_Records/Governance/ADR_Index_Sprint0.md,md,Added - Sprint 0 evidence,662,,886bd7274c5a94b38fe3f83f980074a5364234f82a0806b116ad42478c5ec8d0
06_Development_Records/Governance/Project_Foundation_Release_Record.md,md,Added - Sprint 0 evidence,466,,f789933c54973d329e078dd5a561b43f174333653a36aca00ce5254daaac0aab
06_Development_Records/Sprint_00/DevelopmentEnvironment_Record.md,md,Added - Sprint 0 evidence,1978,,34906df25b05006e5bf449ee1ee1a00a2ee89ba58b8b1b8f3c7a3b3ea9cc5906
06_Development_Records/Sprint_00/S0.10_Applied_Changes_Report.md,md,Added - Sprint 0 evidence,1346,,45526d23c8ff676a2f472d3422f97cc9a9cf51893d2cdb6c7b9fe0d29e8cd717
06_Development_Records/Sprint_00/S0.10_Package_Review_Record.md,md,Added - Sprint 0 evidence,1315,,6caa7be0ef49e9fa2fd1719400d3190cfdcf47ef7f3ff9211ef6560b4233a71a
06_Development_Records/Sprint_00/S0.10_Sprint_Closure.md,md,Added - Sprint 0 evidence,1233,,9f9d70fae2a2197c724f273e1279b1589c19641519e2795bda3ad32e954b5556
06_Development_Records/Sprint_00/S0.10_Validation_Checklist.md,md,Added - Sprint 0 evidence,1121,,292c90a2509bf4000f78d77cba56b38740a72e8bc5c3b99c53a4de14e6fb1279
06_Development_Records/Sprint_00/S0.10_Windows_Final_Build_Record.md,md,Added - Sprint 0 evidence,1484,,2bdddb6ad5bff23d564e9d179c0b31b5baa4dcf00624539571485725734231a2
06_Development_Records/Sprint_00/Sprint_00_Closure_Record.md,md,Added - Sprint 0 evidence,856,,40304282ce444aae9a485d1f9cbb27b6157460aef53ebee86d2c1e8c5aa7999a
06_Development_Records/Sprint_00/Sprint_00_Current_Status.md,md,Added - Sprint 0 evidence,758,,89e8091242b513ea0e04589d73cf525f6a6f17b3c4d4d7da2b820737197083f8
06_Development_Records/Sprint_00/Sprint_00_Foundation_Baseline.md,md,Added - Sprint 0 evidence,1238,,0fed73bbd55bee471c7c2858bd09fcf946b308aab364d00455595c10a2b2e877
99_Source_Markdown/00_Cartridge_And_Cloud_Guide_v0.4.md,md,Updated version,40622,,d2648692ec3db14ec9f36979f4e7efd35260635913de372de6f95e707f473bbf
99_Source_Markdown/Cartridge_And_Cloud_Art_Bible_v0.3.md,md,Core content unchanged - baseline header aligned,13699,,9d12adda06afbf7db50291337b88095e23005722431fdb4959ffb33afc1ad0c7
99_Source_Markdown/Cartridge_And_Cloud_Audio_Bible_v0.3.md,md,Core content unchanged - baseline header aligned,4032,,9de246aa116d50e54ce46f23ea6e683d337ce3d58f06023af66c068fa6803f4a
99_Source_Markdown/Cartridge_And_Cloud_Build_Versioning_Guide_v0.4.md,md,Updated version,4723,,6ac0c7072b5ac4b1844d82daffe1ec5f241dba369145e5c62152e290b8309acd
99_Source_Markdown/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.md,md,Core content unchanged - baseline header aligned,4571,,d49fa93c9948fe7c66d049193e866b80a8aa58dea240d666941ceca171e38565
99_Source_Markdown/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.md,md,Core content unchanged - baseline header aligned,3744,,686e0e814121e526e3f2505fa867e4be9b2dbfe91e80d9cbce12fa59db4de37f
99_Source_Markdown/Cartridge_And_Cloud_Documentation_Validation_Report_v0.2.md,md,Updated version,2115,,cc60a6477abb733f9abfc2fab159b0a22d30dc134abe5e20ef6bdd4546b9c732
99_Source_Markdown/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.md,md,Core content unchanged - baseline header aligned,30549,,f83578295bab346c04186abd7d5ca64c006565617f38e71b8c229605b717fabc
99_Source_Markdown/Cartridge_And_Cloud_Enfoque_v0.6_PDF_Source.md,md,Core content unchanged - baseline header aligned,124432,,8e6ba5102d28b0aa36d1306b531407587510850d2a7ca50691389d53ce938548
99_Source_Markdown/Cartridge_And_Cloud_GDD_v0.4_PCSteam.md,md,Core content unchanged - baseline header aligned,114639,,88be82c3d3cfa4cb5965379e621b0aba522efa1217041cdc23a129ec4817485a
99_Source_Markdown/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.md,md,Core content unchanged - baseline header aligned,23118,,2bb04a31e3a2661e17e00f23ac0becc61b2c198a36fce87cf9f7aa1c76f07103
99_Source_Markdown/Cartridge_And_Cloud_Legal_Credits_Licenses_Register_v0.3.md,md,Core content unchanged - baseline header aligned,4077,,1a0e921f139b73179fe734eec452dcc3aa8c43860309390fe41ea1fb588fe81f
99_Source_Markdown/Cartridge_And_Cloud_Localization_Plan_v0.3.md,md,Core content unchanged - baseline header aligned,3911,,2158be2c46ec697e617419a9192bbaa8a0dd4435b5c650fca9295921b958cb3a
99_Source_Markdown/Cartridge_And_Cloud_Marketing_Plan_v0.3.md,md,Core content unchanged - baseline header aligned,8346,,c38c0faa88c5d3625e8814d5ec02eebb39d321819624b8dd0539d13f364d26e7
99_Source_Markdown/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.md,md,Core content unchanged - baseline header aligned,71681,,3c722995fa9423f0de31cf9a45cf527574c5f77eb13f2788db0b84585baf8a0b
99_Source_Markdown/Cartridge_And_Cloud_Package_Manifest_v0.2.md,md,Updated version,2456,,ccf1ff8da3ecfb69e1ee93a902e1d13d706d5e7ada9ac4a185515c8f93cd2b7a
99_Source_Markdown/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.4.md,md,Updated version,6571,,e9976daa630e8bc1460831eea0c3d280d24f38d3907ef3dd97baec6e35661404
99_Source_Markdown/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.4.md,md,Updated version,2334,,02d4f9ad4e668399497cec77be435926531690b2e1636a0c288b15156b61c4fc
99_Source_Markdown/Cartridge_And_Cloud_QA_Testing_Plan_v0.4.md,md,Updated version,10116,,623c83bd390d3fb1e7cb09e554f6a29f63db662c7ca3e296c65938c65969a724
99_Source_Markdown/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.md,md,Core content unchanged - baseline header aligned,4028,,56979c2830951e4a82a7d01793cebe9a930df4a773245de2b7489d0e73cb0777
99_Source_Markdown/Cartridge_And_Cloud_TDD_v0.4_Technical_Design_Document.md,md,Updated version,19073,,bd2237fa0323821c4d4717d89940f005bbce2c2232ac91a4dd72f54301fb879d
99_Source_Markdown/Cartridge_And_Cloud_UI_Style_Guide_v0.3.md,md,Core content unchanged - baseline header aligned,47960,,8e0d241b40ecc46860cc6c51036f436d85ecfeca0cecfc721897b52396b7fca2
99_Source_Markdown/Cartridge_And_Cloud_UX_Flow_v0.3.md,md,Core content unchanged - baseline header aligned,87568,,2f7e2355cb0e994394e536f8de514ba499aca16a2a81b8e6be1867a025842a9d
99_Source_Markdown/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.4.md,md,Updated version,5564,,0feb637a512b120a1515127467a5a9af0e97758c5a2f93627b6a4f3165b63cf8
99_Source_Markdown/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.2.md,md,Updated version,9317,,884464e9599f0f1b66fdeff7a3c6422bf9d37b883817f480e0429ebdcd126b9d
99_Source_Markdown/cc_style.css,css,Editable source,2876,,63b2ea56fabf4c542eea9095cd50a0d8f8a56ac129b26178b429f3bbe5135a3b
BASELINE_CHANGELOG_v0.3_to_v0.4.md,md,Baseline control document,1071,,3a7a302140f163b86c0e5328b9af5b669ad79ce0791537f6c59a0f735e0c7414
BASELINE_INTEGRITY_REPORT.md,md,Baseline control document,1301,,9e98408a51ce554834f31a15a8a66e9b643cdc97e8832ac9c208b2990b4273c6
DOCUMENTATION_VALIDATION_REPORT.md,md,Baseline control document,2115,,cc60a6477abb733f9abfc2fab159b0a22d30dc134abe5e20ef6bdd4546b9c732
DOCUMENT_LIFECYCLE_POLICY.md,md,Baseline control document,618,,72b9f34f2df9b72a5b593bab0505beb0f361b545e0eca3d22f62758e51eaa232
MIGRATION_SUMMARY.md,md,Baseline control document,380,,5c1ed952d123b226f4f0301a9913f70bf2a42746bfd3701063a8a2c7355ff691
PACKAGE_MANIFEST.md,md,Baseline control document,2456,,ccf1ff8da3ecfb69e1ee93a902e1d13d706d5e7ada9ac4a185515c8f93cd2b7a
README.en.md,md,Baseline control document,298,,d428feb2eda48918d7cbacb78b44b8fff9bb6cf01f9ab3b096444ad37814810a
README.md,md,Baseline control document,692,,c2e7a9edfe7df62aeeaf2092f66da7df4ed6b69f6a54527c92ca69c755fc327e
SPRINT0_DOCUMENT_IMPACT_MATRIX.md,md,Baseline control document,1625,,5cdf40826f5a6d4725b1a8cbf400731b9d9868fbfb3120c9e9858997e00741ce
