OriginalArchivePath,DestinationProjectPath,SizeBytes,CompressedBytes
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Marketing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Marketing_Plan_v0.3.md,8241,3780
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.md,71576,24452
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Package_Manifest_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Package_Manifest_v0.1.md,6551,2441
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Production_Roadmap_Sprint_Plan_v0.3.md,5738,2879
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.3.md,4609,1985
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_QA_Testing_Plan_v0.3.md,9293,4357
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Steam_Publishing_Plan_v0.3.md,3923,2022
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_TDD_v0.3_Technical_Design_Document.md,17342,7229
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_UI_Style_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_UI_Style_Guide_v0.3.md,47855,16780
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.3.md,4564,2322
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_UX_Flow_v0.3.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_UX_Flow_v0.3.md,87463,28711
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.md,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.1.md,8682,3906
Cartridge_And_Cloud_Documentation_v0.3/99_Source_Markdown/cc_style.css,Documentation/00_Official_Baseline/v0.3/99_Source_Markdown/cc_style.css,2876,1106
Cartridge_And_Cloud_Documentation_v0.3/CHECKSUMS_SHA256.txt,Documentation/00_Official_Baseline/v0.3/CHECKSUMS_SHA256.txt,7808,3391
Cartridge_And_Cloud_Documentation_v0.3/DOCUMENTATION_VALIDATION_REPORT.md,Documentation/00_Official_Baseline/v0.3/DOCUMENTATION_VALIDATION_REPORT.md,6971,3232
Cartridge_And_Cloud_Documentation_v0.3/MIGRATION_SUMMARY.md,Documentation/00_Official_Baseline/v0.3/MIGRATION_SUMMARY.md,1661,923
Cartridge_And_Cloud_Documentation_v0.3/PACKAGE_MANIFEST.md,Documentation/00_Official_Baseline/v0.3/PACKAGE_MANIFEST.md,6098,2242
Cartridge_And_Cloud_Documentation_v0.3/README.en.md,Documentation/00_Official_Baseline/v0.3/README.en.md,2005,1148
Cartridge_And_Cloud_Documentation_v0.3/README.md,Documentation/00_Official_Baseline/v0.3/README.md,2026,1160
